x;y 
99,118784;-3,261945
99,153866;-3,674491
99,219134;-4,08797
99,313961;-4,50234
99,437719;-4,917559
99,589782;-5,333589
99,769524;-5,750387
99,976318;-6,167913
100,209537;-6,586126
100,468554;-7,004986
100,752743;-7,424451
101,061476;-7,844482
101,394128;-8,265037
101,750072;-8,686075
102,12868;-9,107556
102,529326;-9,529439
102,951384;-9,951684
103,394226;-10,374249
103,857227;-10,797094
104,339758;-11,220178
104,841194;-11,643461
105,360908;-12,066901
105,898274;-12,490458
106,452663;-12,914091
107,02345;-13,337759
107,610009;-13,761422
108,211711;-14,185039
108,827931;-14,608569
109,458043;-15,031972
110,101418;-15,455206
110,757431;-15,878231
111,425454;-16,301006
112,104861;-16,723491
112,795026;-17,145644
113,495322;-17,567426
114,205121;-17,988795
114,923798;-18,40971
115,650725;-18,830131
116,385276;-19,250016
117,126824;-19,669326
117,874742;-20,08802
118,628404;-20,506056
119,387183;-20,923395
120,150453;-21,339995
120,917585;-21,755815
121,687955;-22,170815
122,460935;-22,584954
123,235898;-22,998191
124,012218;-23,410486
124,789268;-23,821798
125,566421;-24,232086
126,343051;-24,641309
127,118531;-25,049427
127,892233;-25,456399
128,663533;-25,862184
129,431802;-26,266741
130,196414;-26,67003
130,956742;-27,07201
131,71216;-27,472639
132,462041;-27,871879
133,205758;-28,269687
133,942685;-28,666023
134,672194;-29,060846
135,39366;-29,454115
136,106455;-29,845791
136,809952;-30,235831
137,503526;-30,624195
138,186549;-31,010843
138,858394;-31,395734
139,518435;-31,778826
140,166045;-32,16008
140,800598;-32,539455
141,421466;-32,916909
142,028024;-33,292402
142,619643;-33,665893
143,195699;-34,037342
143,755563;-34,406708
144,298609;-34,77395
144,824211;-35,139027
145,331741;-35,501899
145,820574;-35,862525
146,290081;-36,220863
146,739638;-36,576874
147,168616;-36,930517
147,57639;-37,28175
147,962332;-37,630534
148,325815;-37,976827
148,666214;-38,320588
148,982902;-38,661778
149,27525;-39,000355
149,542634;-39,336278
149,784426;-39,669506
150;-40
150,273324;-40,490548
150,487096;-40,974861
150,642167;-41,452951
150,739387;-41,92483
150,779604;-42,390507
150,76367;-42,849994
150,692435;-43,303303
150,566748;-43,750444
150,387459;-44,19143
150,155419;-44,62627
149,871478;-45,054976
149,536485;-45,477559
149,151291;-45,894031
148,716745;-46,304402
148,233698;-46,708684
147,703;-47,106888
147,1255;-47,499025
146,502049;-47,885107
145,833497;-48,265143
145,120693;-48,639147
144,364489;-49,007128
143,565733;-49,369098
142,725275;-49,725068
141,843967;-50,075049
140,922657;-50,419053
139,962196;-50,75709
138,963434;-51,089172
137,927221;-51,41531
136,854407;-51,735515
135,745842;-52,049798
134,602375;-52,35817
133,424858;-52,660644
132,214139;-52,957229
130,97107;-53,247936
129,696499;-53,532778
128,391278;-53,811765
127,056256;-54,084909
125,692283;-54,35222
124,300208;-54,61371
122,880883;-54,869389
121,435157;-55,11927
119,963881;-55,363363
118,467903;-55,601679
116,948075;-55,83423
115,405245;-56,061027
113,840266;-56,282081
112,253985;-56,497402
110,647253;-56,707003
109,020921;-56,910895
107,375838;-57,109087
105,712855;-57,301593
104,032821;-57,488422
102,336586;-57,669587
100,625001;-57,845098
98,898915;-58,014966
97,159178;-58,179203
95,406641;-58,337819
93,642153;-58,490826
91,866565;-58,638236
90,080726;-58,780058
88,285487;-58,916306
86,481698;-59,046988
84,670208;-59,172117
82,851867;-59,291705
81,027526;-59,405761
